block,street_name,lat,lng
113A,ALKAFF CRES,1.3359765,103.87304314199187
114,JURONG EAST ST 13,1.3392133,103.73465142640498
406B,NORTHSHORE DR,1.4163527999999999,103.9010402604533
42,HOLLAND DR,1.3078678,103.7929611
95,DAWSON RD,1.2963771999999998,103.81205398814498
207C,WOODLEIGH LINK,1.34190835,103.87151005185393
256,YISHUN RING RD,1.434102,103.840005
848,YISHUN ST 81,1.416391,103.835203
128,BT BATOK WEST AVE 6,1.35165945,103.74563077168634
316,HOUGANG AVE 7,1.364957,103.896582
96,DAWSON RD,1.2963372,103.81268861970135
363A,SEMBAWANG CRES,1.4458017,103.8140956
627B,TAMPINES ST 61,1.3637823500000001,103.9399974988568
648A,TAMPINES ST 62,1.3682028499999999,103.94050479508661
425,BT BATOK WEST AVE 2,1.36177365,103.74521364770472
48,MOH GUAN TER,1.283993,103.83107
90A,JLN SATU,1.3104543,103.88785146991441
52,STIRLING RD,1.2965063,103.8034957
228B,ANG MO KIO ST 23,1.368412,103.839243
154B,BEDOK STH RD,1.3178184,103.94677707721934
45,KIM CHENG ST,1.284224,103.831606
161B,JLN TECK WHYE,1.3798864,103.75863911074634
108A,BIDADARI PK DR,1.3342307500000001,103.87185676873531
189A,MARSILING RD,1.43727535,103.77396843022507
781E,WOODLANDS AVE 9,1.4486514499999998,103.80296888677258
795A,YISHUN RING RD,1.419419,103.832817
433A,BT BATOK WEST AVE 8,1.362142,103.74213
508,JURONG WEST ST 52,1.348733,103.718728
140B,CORPORATION DR,1.32734425,103.72372733102867
53,STIRLING RD,1.296614,103.8036333
351B,ANCHORVALE RD,1.3940887499999999,103.88694040079561
634B,TAMPINES NTH DR 2,1.365555,103.940041
875B,TAMPINES ST 86,1.3529431,103.92947787958646
215A,BIDADARI PK DR,1.34364495,103.87676903983254
188B,MARSILING RD,1.43778685,103.7742384004019
460C,BT BATOK WEST AVE 9,1.353318,103.739542
467C,BT BATOK WEST AVE 9,1.355895,103.742637
515,CHOA CHU KANG ST 51,1.390241,103.743594
358B,UBI RD 3,1.328444,103.900549
37A,PINE LANE,1.308887,103.884249
421B,NORTHSHORE DR,1.4192977,103.90448990688844
30,MARGARET DR,1.2987297500000001,103.80400202872583
102B,CANBERRA ST,1.45122375,103.83125324736726
213C,BIDADARI PK DR,1.34279365,103.87469554930371
471A,YISHUN ST 42,1.4259277,103.85288303849387
339,ANG MO KIO AVE 1,1.3652101,103.8490956
466A,CLEMENTI AVE 1,1.3098283,103.76724431623185
356C,UBI RD 3,1.327449,103.900353
38B,EUNOS RD 2,1.3207598,103.899829
36,MARGARET DR,1.29747565,103.80539723690086
356A,ANCHORVALE LANE,1.3934503999999999,103.8848768738354
400C,FERNVALE LANE,1.3893351,103.8713119
102,BEDOK RESERVOIR RD,1.32846755,103.9092608624706
430A,BEDOK NTH RD,1.329728,103.932813
161A,JLN TECK WHYE,1.3797155,103.75912070709956
210B,CLEMENTI AVE 6,1.3228711,103.7631314733694
465A,CLEMENTI AVE 1,1.3093705,103.76738447879126
401D,FERNVALE LANE,1.3893385,103.8712871
460C,SENGKANG WEST WAY,1.3950997,103.8712641
213A,BIDADARI PK DR,1.3428350999999998,103.87351746066284
428,BT PANJANG RING RD,1.386716,103.769773
995A,BUANGKOK CRES,1.386582,103.882437
31,MARGARET DR,1.2983172,103.80388367822593
37,MARGARET DR,1.2981863,103.8051196
57,STIRLING RD,1.2963234,103.8044645
42A,MARGARET DR,1.2967876999999999,103.80734650359682
131B,CANBERRA CRES,1.4441939000000001,103.83070619470581
115A,ALKAFF CRES,1.3364577,103.87269987455358
473A,YISHUN ST 42,1.42672685,103.85352812415667
22,TIONG BAHRU RD,1.2857011,103.83171242771428
996C,BUANGKOK CRES,1.385711,103.882657
937,JURONG WEST ST 91,1.3424705499999998,103.69008709046497
992A,UPP JURONG RD,1.3358869,103.6747165
405B,NORTHSHORE DR,1.4159816,103.9017691
469B,YISHUN ST 43,1.4243137,103.8518529927471
433B,BT BATOK WEST AVE 8,1.361422,103.742317
358D,UBI RD 3,1.329554,103.900179
408A,NORTHSHORE DR,1.4170402,103.90291704539115
425A,NORTHSHORE CRES,1.419637,103.906777
